,Player,Club,Amount,Date
0,Lee Grant,Stoke,"£1,500,000",2018-07-03
5,Fred,Shakhtar,"£52,000,000",2018-06-21
4,Diogo Dalot,Porto,"£19,000,000",2018-06-08
3,Alexis Sanchez,Arsenal,Swap,2018-01-22
2,Nemanja Matic,Chelsea,"£40,000,000",2017-07-31
1,Romelu Lukaku,Everton,"£75,000,000",2017-07-10
7,Victor Lindelof,Benfica,"£31,000,000",2017-06-14
6,Paul Pogba,Juventus,"£89,300,000",2016-08-08
16,Henrikh Mkhitaryan,B Dortmund,"£26,000,000",2016-07-06
15,Zlatan Ibrahimovic,Paris St-G.,Free,2016-07-01
14,Eric Bailly,Villarreal,"£30,000,000",2016-06-08
12,Regan Poole,Newport Co,"£100,000",2015-09-01
13,Anthony Martial,Monaco,"£36,000,000",2015-09-01
11,Sergio Romero,Sampdoria,Free,2015-07-27
9,Bastian Schweinsteiger,B Munich,"£14,400,000",2015-07-13
10,Morgan Schneiderlin,Southampton,"£25,000,000",2015-07-13
8,Matteo Darmian,Torino,"£12,700,000",2015-07-11
24,Memphis Depay,PSV Eindhoven,"£25,000,000",2015-06-11
23,Victor Valdes,Barcelona,Free,2015-01-08
22,Daley Blind,Ajax,"£13,800,000",2014-09-01
21,Angel Di Maria,Real Madrid,"£59,700,000",2014-08-26
20,Marcos Rojo,Sporting,"£16,000,000",2014-08-20
19,Andreas Pereira,PSV Eindhoven,Signed,2014-08-01
18,Luke Shaw,Southampton,"£27,000,000",2014-06-27
17,Ander Herrera,Ath Bilbao,"£29,000,000",2014-06-26
26,Juan Mata,Chelsea,"£37,100,000",2014-01-25
25,Marouane Fellaini,Everton,"£27,500,000",2013-09-02
32,Guillermo Varela,Penarol,"£2,400,000",2013-06-07
31,Wilfried Zaha,C Palace,"£15,000,000",2013-01-25
30,Alexander Buttner,Vitesse Arn.,Signed,2012-08-21
29,Robin van Persie,Arsenal,"£24,000,000",2012-08-17
28,Angelo Henriquez,Univ de Chile,Youth,2012-08-01
27,Shinji Kagawa,B Dortmund,"£12,000,000",2012-06-22
35,Nick Powell,Crewe,"£4,000,000",2012-06-12
34,Frederic Veseli,Man City,Signed,2012-01-31
33,David de Gea,Atl Madrid,"£18,900,000",2011-06-29
40,Ashley Young,Aston Villa,"£17,000,000",2011-06-23
39,Phil Jones,Blackburn,"£16,500,000",2011-06-13
38,Anders Lindegaard,Aalesund,"£3,500,000",2011-01-01
37,Bebe,Vitoria,"£7,400,000",2010-08-11
36,Javier Hernandez,Guadalajara,Signed,2010-07-15
46,Chris Smalling,Fulham,"£10,000,000",2010-07-01
45,Marnick Vermijl,St Liege,Signed,2010-03-10
44,Mame Biram Diouf,Molde,Signed,2009-07-17
43,Gabriel Obertan,Bordeaux,"£3,000,000",2009-07-08
42,Michael Owen,Newcastle,Free,2009-07-03
41,Luis Antonio Valencia,Wigan,"£16,000,000",2009-06-30
51,Ritchie de Laet,Stoke,Signed,2009-01-08
50,Zoran Tosic,Partizan,Signed,2009-01-01
49,Dimitar Berbatov,Tottenham,"£30,750,000",2008-09-01
47,Fabio Da Silva,Fluminense,Signed,2008-08-01
48,Rafael Da Silva,Fluminense,Signed,2008-08-01
53,Manucho,Petro Atletico,Signed,2008-01-01
52,Carlos Tevez,West Ham,Unknown,2007-08-04
56,Nani,Sporting,"£25,500,000",2007-07-02
58,Anderson,Porto,"£27,000,000",2007-07-02
57,Tomasz Kuszczak,West Brom,"£2,125,000",2007-07-02
55,Owen Hargreaves,B Munich,"£17,000,000",2007-07-01
54,Michael Carrick,Tottenham,"£18,600,000",2006-07-31
62,Patrice Evra,Monaco,"£5,500,000",2006-01-10
61,Nemanja Vidic,Spartak Moscow,"£7,000,000",2006-01-04
60,Ben Foster,Stoke,"£1,000,000",2005-07-19
59,Park Ji-Sung,PSV Eindhoven,"£4,000,000",2005-07-05
64,Edwin van der Sar,Fulham,Signed,2005-06-01
63,Wayne Rooney,Everton,"£20,000,000",2004-08-31
74,Liam Miller,Celtic,Free,2004-07-01
73,Gabriel Heinze,Paris St-G.,"£6,900,000",2004-06-11
72,Alan Smith,Leeds,"£7,000,000",2004-05-27
71,Louis Saha,Fulham,"£12,820,000",2004-01-23
70,Dong,Dalian Shide,"£500,000",2004-01-12
68,Jose Kleberson,Paranaense,"£5,930,000",2003-08-12
69,Cristiano Ronaldo,Sporting,"£12,240,000",2003-08-12
67,Tim Howard,MetroStars,"£2,300,000",2003-07-15
66,Eric Djemba-Djemba,Nantes,"£3,500,000",2003-07-03
65,David Bellion,Sunderland,"£2,000,000",2003-07-01
77,Ricardo,Valladolid,"£1,500,000",2002-08-30
76,Rio Ferdinand,Leeds,"£30,000,000",2002-07-22
75,Kieran Richardson,West Ham,Unknown,2002-07-01
83,Luke Steele,Peterborough,"£500,000",2002-05-12
82,Diego Forlan,Independiente,"£7,500,000",2002-01-22
81,Laurent Blanc,Inter,Free,2001-08-30
80,Roy Carroll,Wigan,"£2,500,000",2001-07-27
79,Juan Veron,Lazio,"£28,100,000",2001-07-12
78,Ruud van Nistelrooy,PSV Eindhoven,"£19,000,000",2001-07-01
88,Fabien Barthez,Monaco,"£7,800,000",2000-05-31
87,Mikael Silvestre,Inter,"£4,000,000",1999-09-10
86,Massimo Taibi,Venezia,"£4,500,000",1999-08-31
85,Quinton Fortune,Atl Madrid,"£1,500,000",1999-08-25
84,Mark Bosnich,Aston Villa,Free,1999-06-02
91,Bojan Djordjic,Br'pojkarna,Signed,1999-02-16
90,Dwight Yorke,Aston Villa,"£12,600,000",1998-08-20
89,Jesper Blomqvist,Parma,"£4,400,000",1998-07-22
