,Player,Team,Position,Age,Minutes played,Goals,Assists,Foot,Non-penalty goals,Head goals total,Shots total,Shots on target %,"Goal conv., %",Crosses per 90,Crosses from left per 90,"Crosses from left, %",Crosses from right per 90,"Crosses from right, %",Touches in box per 90,Fwd passes per 90,Fwd passes acc. %,Back passes per 90,Lat passes per 90,Sh/m passes per 90,Lng passes per 90,Lng passes acc. %,"Avg pass length, m","Avg lng pass length, m",Final 3rd passes per 90,Final 3rd passes acc. %,Passes to penalty area per 90,Passes to penalty area acc. %,Thru passes per 90,Thru passes acc. %
0,Neymar,PSG,"AMF, LWF, CF",27,1519,15,6,right,10,1,53,50.94,28.302,1.07,0.95,37.5,0.12,50,4.44,20.68,75.07,8.29,14.99,50.95,4.38,52.7,15.6,33.12,12.09,77.45,6.16,67.31,5.33,40
1,C. Eriksen,Tottenham Hotspur,"AMF, LCMF3, RCMF3",27,2961,8,11,both,8,0,79,39.24,10.127,1.98,0.64,28.57,1.31,32.56,1.58,17.14,64.89,9.7,18.69,48.66,6.02,46.46,18.82,34.88,9.54,70.06,4.5,45.95,3.22,29.25
2,K. Havertz,Bayer Leverkusen,"AMF, RWF, RCMF3",20,3040,17,2,left,14,2,83,50.6,20.482,1.15,0.41,28.57,0.71,37.5,3.23,11.16,82.49,12.2,16.58,48.08,2.93,71.72,16.3,34,5.27,86.52,2.31,67.95,0.65,50
3,D. Alli,Tottenham Hotspur,"AMF, LCMF3, LAMF",23,1923,5,1,right,5,4,38,47.37,13.158,0.94,0.56,25,0.33,14.29,3.56,11.7,67.6,10.48,14.18,42.87,3.28,52.86,16.49,32.73,5.99,71.88,3.51,52,2.34,24
4,N. Fekir,Olympique Lyonnais,AMF,26,2108,9,5,left,5,0,90,47.78,10,1.58,1.11,34.62,0.47,72.73,3.54,11.7,80.29,7.94,12.89,37.31,3.29,57.14,16.21,24.93,6.7,82.8,2.43,57.89,0.94,40.91
5,J. Rodríguez,Real Madrid,"AMF, RCMF3",28,1196,7,3,left,7,2,37,54.05,18.919,2.63,1.96,46.15,0.6,37.5,3.76,17.16,82.02,12.19,24.98,58.7,6.55,67.82,18.34,37.35,7.83,87.5,5.87,58.97,1.81,41.67
6,G. Lo Celso,Real Betis,"AMF, CF, LCMF3",23,2547,9,3,left,7,0,65,43.08,13.846,0.92,0.49,21.43,0.32,11.11,2.58,13.92,77.66,8.48,16.68,45.83,3.14,56.18,16.93,33.32,7.17,76.85,3.25,64.13,2.51,40.85
7,M. Reus,Borussia Dortmund,"AMF, CF",30,2445,17,7,right,14,1,66,53.03,25.758,1.55,0.77,52.38,0.74,35,4.53,9.68,72.62,8.91,10.42,34.38,1.36,43.24,15.92,31.55,4.42,75,2.61,69.01,0.74,40
8,A. Ramsey,Juventus,"AMF, RCMF",28,1443,4,5,both,4,0,31,38.71,12.903,1.68,0.69,36.36,1,25,3.93,12.47,72,9.67,14.53,43.16,2.93,70.21,16.42,27.51,6.36,81.37,2.87,65.22,1.56,40
9,N. Zaniolo,Roma,"AMF, LCMF3, RW",20,1860,4,2,left,4,1,47,42.55,8.511,1.79,0.77,25,0.97,10,3,5.9,74.59,6.97,9.15,23.85,2.18,42.22,16.63,21.34,2.37,63.27,1.55,40.63,0.53,36.36
10,J. Maddison,Leicester City,"AMF, LCMF, LW",22,2980,7,6,right,6,0,84,34.52,8.333,1.21,0.51,41.18,0.63,38.1,1.99,11.96,75.51,7.52,13.02,36.91,3.23,56.07,17.27,30.76,6.22,80.1,3.23,63.55,1.54,33.33
11,J. Lingard,Manchester United,"AMF, RWF, RAMF",26,1762,4,2,right,3,0,32,43.75,12.5,1.02,0.26,0,0.77,33.33,2.25,8.33,74.23,9.7,11.44,37.44,1.38,37.04,14.57,26.52,4.34,77.65,1.89,59.46,0.66,46.15
12,L. Pellegrini,Roma,"AMF, LDMF, RCMF3",23,1908,2,4,right,2,0,45,26.67,4.444,2.17,0.8,41.18,1.37,34.48,2.08,11.79,72.4,7.26,11.7,34.67,4.01,50.59,17,31.85,5.14,74.31,3.25,56.52,1.32,25
13,T. Müller,Bayern München,"AMF, RAMF, RCMF3",29,2473,6,9,right,6,1,58,44.83,10.345,3.42,0.25,28.57,3.13,30.23,6.37,9.97,65.33,10.12,13.54,38.18,3.89,49.53,17.11,31.67,3.49,72.92,4.73,56.92,1.67,43.48
