,Total,,,,,,,,,Home,,,,,,,,,Away,,,,,,,,
Team,Rank,P,M,W,D,L,G,GA,GD,Rank,P,M,W,D,L,G,GA,GD,Rank,P,M,W,D,L,G,GA,GD
Juventus,1,90,38,28,6,4,70,30,40,1,49,19,15,4,0,39,13,26,1,41,19,13,2,4,31,17,14
Napoli,2,79,38,24,7,7,74,36,38,2,43,19,13,4,2,41,16,25,2,36,19,11,3,5,33,20,13
Atalanta,3,69,38,20,9,9,77,46,31,7,35,19,10,5,4,36,19,17,3,34,19,10,4,5,41,27,14
Inter Milan,4,69,38,20,9,9,57,33,24,5,38,19,11,5,3,27,10,17,4,31,19,9,4,6,30,23,7
AC Milan,5,68,38,19,11,8,55,36,19,4,40,19,12,4,3,31,17,14,5,28,19,7,7,5,24,19,5
Roma,6,66,38,18,12,8,66,48,18,3,41,19,12,5,2,43,26,17,8,25,19,6,7,6,23,22,1
Torino,7,63,38,16,15,7,52,37,15,6,38,19,12,2,5,32,19,13,7,25,19,4,13,2,20,18,2
Lazio,8,59,38,17,8,13,56,46,10,9,32,19,9,5,5,36,25,11,6,27,19,8,3,8,20,21,-1
Sampdoria,9,53,38,15,8,15,60,51,9,8,32,19,10,2,7,28,16,12,9,21,19,5,6,8,32,35,-3
Bologna,10,44,38,11,11,16,48,56,-8,10,31,19,9,4,6,28,22,6,16,13,19,2,7,10,20,34,-14
Sassuolo,11,43,38,9,16,13,53,60,-7,15,25,19,5,10,4,33,33,0,12,18,19,4,6,9,20,27,-7
Udinese,12,43,38,11,10,17,39,53,-14,13,29,19,8,5,6,22,22,0,15,14,19,3,5,11,17,31,-14
SPAL,13,42,38,11,9,18,44,56,-12,17,22,19,5,7,7,20,26,-6,10,20,19,6,2,11,24,30,-6
Parma,14,41,38,10,11,17,41,61,-20,18,22,19,5,7,7,18,25,-7,11,19,19,5,4,10,23,36,-13
Cagliari,15,41,38,10,11,17,36,54,-18,12,30,19,8,6,5,23,20,3,18,11,19,2,5,12,13,34,-21
Fiorentina,16,41,38,8,17,13,47,45,2,16,24,19,5,9,5,25,19,6,13,17,19,3,8,8,22,26,-4
Genoa,17,38,38,8,14,16,39,57,-18,14,26,19,6,8,5,21,22,-1,17,12,19,2,6,11,18,35,-17
Empoli,18,38,38,10,8,20,51,70,-19,11,30,19,9,3,7,33,30,3,20,8,19,1,5,13,18,40,-22
Frosinone,19,25,38,5,10,23,29,69,-40,20,9,19,1,6,12,14,38,-24,14,16,19,4,4,11,15,31,-16
Chievo,20,17,38,2,14,22,25,75,-50,19,10,19,1,7,11,14,37,-23,19,10,19,1,7,11,11,38,-27
