Name,Nationality,Team
Virgil van Dijk,Netherlands,Liverpool
Toby Alderweireld,Belgium,Spurs
Jan Vertonghen,Belgium,Spurs
Aymeric Laporte,France,Manchester City
Nicolás Otamendi,Argentina,Manchester City
Sokratis,Greece,Arsenal
Vincent Kompany,Belgium,Manchester City
Davinson Sánchez,Colombia,Spurs
John Stones,England,Manchester City
David Luiz,Brazil,Chelsea
Antonio Rüdiger,Germany,Chelsea
Harry Maguire,England,Leicester City
Laurent Koscielny,France,Arsenal
Victor Lindelöf,Sweden,Manchester Utd
Joel Matip,Cameroon,Liverpool
Dejan Lovren,Croatia,Liverpool
Shkodran Mustafi,Germany,Arsenal
Fabián Balbuena,Paraguay,West Ham
Eric Bailly,Ivory Coast,Manchester Utd
Andreas Christensen,Denmark,Chelsea
Nathan Aké,Netherlands,Bournemouth
Chris Smalling,England,Manchester Utd
Michael Keane,England,Everton
Kurt Zouma,France,Everton
Jannik Vestergaard,Denmark,Southampton
James Tarkowski,England,Burnley
Marcos Rojo,Argentina,Manchester Utd
Phil Jones,England,Manchester Utd
Mamadou Sakho,France,Crystal Palace
Jonny Evans,Northern Ireland,Leicester City
Gary Cahill,England,Chelsea
Joe Gomez,England,Liverpool
Yerry Mina,Colombia,Everton
Jamaal Lascelles,England,Newcastle Utd
Willy Boly,France,Wolves
Lewis Dunk,England,Brighton
Florian Lejeune,France,Newcastle Utd
Steve Cook,England,Bournemouth
Shane Duffy,Republic of Ireland,Brighton
Christian Kabasele,Belgium,Watford
Ben Mee,England,Burnley
James Tomkins,England,Crystal Palace
Issa Diop,France,West Ham
Fabian Schär,Switzerland,Newcastle Utd
Christopher Schindler,Germany,Huddersfield
Angelo Ogbonna,Italy,West Ham
Rob Holding,England,Arsenal
Terence Kongolo,Netherlands,Huddersfield
Federico Fernández,Argentina,Newcastle Utd
Eliaquim Mangala,France,Manchester City
Mathias Jørgensen,Denmark,Huddersfield
Ciaran Clark,Republic of Ireland,Newcastle Utd
Håvard Nordtveit,Norway,Fulham
Craig Cathcart,Northern Ireland,Watford
Winston Reid,New Zealand,West Ham
Souleymane Bamba,Ivory Coast,Cardiff City
Wes Morgan,Jamaica,Leicester City
Phil Jagielka,England,Everton
Jan Bednarek,Poland,Southampton
Conor Coady,England,Wolves
Maya Yoshida,Japan,Southampton
Leon Balogun,Nigeria,Brighton
Martin Kelly,England,Crystal Palace
Scott Dann,England,Crystal Palace
Simon Francis,England,Bournemouth
Juan Foyth,Argentina,Spurs
Çaglar Söyüncü,Turkey,Leicester City
Alfie Mawson,England,Fulham
Jack Stephens,England,Southampton
Ben Gibson,England,Burnley
Maxime Le Marchand,France,Fulham
Bruno Ecuélé Manga,Gabon,Cardiff City
Sean Morrison,England,Cardiff City
Sebastian Prödl,Austria,Watford
Adrian Mariappa,Jamaica,Watford
Kevin Long,Republic of Ireland,Burnley
Miguel Britos,Uruguay,Watford
Ryan Bennett,England,Wolves
Chris Mepham,Wales,Bournemouth
Tim Ream,United States,Fulham
Dan Burn,England,Brighton
Philippe Sandler,Netherlands,Manchester City
Denis Odoi,Belgium,Fulham
Konstantinos Mavropanos,Greece,Arsenal
Pleguezuelo,Spain,Arsenal
Jack Simpson,England,Bournemouth
Jon Gorenc Stankovic,Slovenia,Huddersfield
Ryan Inniss,England,Crystal Palace
Ethan Ampadu,Wales,Chelsea
Eric García,Spain,Manchester City
Sam Hughes,England,Leicester City
Alfie Jones,England,Southampton
Morgan Feeney,England,Everton
Japhet Tanganga,England,Spurs
Cameron Humphreys-Grant,England,Manchester City
Ryan Astley,Wales,Everton
Christoph Klarer,Austria,Southampton
Timothy Eyoma,England,Spurs
Jonathan Dinzeyi,England,Spurs
Nathaniel Phillips,England,Liverpool
Zech Medley,England,Arsenal
Leo Østigård,Norway,Brighton
Alexandru Pascanu,Romania,Leicester City
Conor Masterson,Republic of Ireland,Liverpool
