Name,Nationality,Team,Tackles,Interceptions,Clearances,Errors lead to shot,Dribbled past,Blocked shots,Ground duels won,Ground duels won %,Aerial duels won,Aerial duels won %,Total duels won,Total duels won %,Accurate passes,Inaccurate passes,Total passes,Accurate passes %,Accurate own half passes,Accurate opposition half passes,Key passes,Yellow cards,Red cards,Minutes played,Fouls,Was fouled
Virgil van Dijk,Netherlands,Liverpool,38.0,40.0,199.0,0.0,0.0,18.0,63.0,81.0,181.0,74.0,244.0,76.0,2724.0,313.0,3037.0,90.0,1770.0,954.0,7.0,1.0,0.0,3385.0,22.0,12.0
Toby Alderweireld,Belgium,Spurs,37.0,24.0,167.0,0.0,10.0,22.0,39.0,65.0,54.0,53.0,93.0,58.0,2087.0,271.0,2358.0,89.0,1424.0,665.0,7.0,3.0,0.0,2923.0,1.0,10.0
Jan Vertonghen,Belgium,Spurs,38.0,32.0,72.0,0.0,10.0,11.0,57.0,69.0,51.0,65.0,108.0,67.0,1340.0,191.0,1531.0,88.0,757.0,588.0,4.0,3.0,1.0,1914.0,10.0,10.0
Aymeric Laporte,France,Manchester City,42.0,39.0,95.0,2.0,12.0,9.0,61.0,63.0,78.0,58.0,139.0,60.0,2768.0,230.0,2998.0,92.0,1416.0,1352.0,15.0,3.0,0.0,3057.0,18.0,21.0
Nicolás Otamendi,Argentina,Manchester City,24.0,29.0,55.0,0.0,4.0,4.0,29.0,74.0,41.0,62.0,70.0,67.0,1152.0,93.0,1245.0,93.0,651.0,501.0,2.0,1.0,0.0,1234.0,3.0,8.0
Sokratis,Greece,Arsenal,42.0,26.0,108.0,1.0,13.0,17.0,71.0,57.0,56.0,55.0,127.0,56.0,1240.0,147.0,1387.0,89.0,975.0,265.0,5.0,12.0,0.0,2199.0,25.0,37.0
Vincent Kompany,Belgium,Manchester City,16.0,16.0,55.0,0.0,1.0,8.0,19.0,53.0,36.0,68.0,55.0,62.0,1142.0,85.0,1227.0,93.0,631.0,511.0,1.0,6.0,0.0,1223.0,0.0,17.0
Davinson Sánchez,Colombia,Spurs,37.0,30.0,101.0,1.0,17.0,9.0,48.0,55.0,66.0,57.0,114.0,56.0,1294.0,146.0,1440.0,90.0,933.0,361.0,4.0,2.0,0.0,1943.0,10.0,20.0
John Stones,England,Manchester City,16.0,14.0,60.0,1.0,5.0,9.0,29.0,64.0,59.0,66.0,88.0,66.0,1649.0,102.0,1751.0,94.0,930.0,720.0,5.0,1.0,0.0,1769.0,7.0,6.0
David Luiz,Brazil,Chelsea,41.0,35.0,144.0,0.0,7.0,18.0,80.0,62.0,82.0,53.0,162.0,57.0,2306.0,314.0,2620.0,88.0,1369.0,938.0,20.0,3.0,0.0,3239.0,29.0,34.0
Antonio Rüdiger,Germany,Chelsea,34.0,32.0,95.0,1.0,12.0,8.0,51.0,53.0,83.0,53.0,134.0,53.0,2321.0,216.0,2537.0,91.0,1519.0,802.0,8.0,7.0,0.0,2874.0,15.0,28.0
Harry Maguire,England,Leicester City,31.0,37.0,152.0,3.0,6.0,18.0,63.0,64.0,118.0,78.0,181.0,73.0,1495.0,252.0,1747.0,86.0,854.0,641.0,11.0,6.0,1.0,2599.0,16.0,20.0
Laurent Koscielny,France,Arsenal,19.0,30.0,70.0,0.0,6.0,15.0,34.0,65.0,25.0,47.0,59.0,56.0,819.0,72.0,891.0,92.0,604.0,215.0,2.0,1.0,0.0,1330.0,14.0,9.0
Victor Lindelöf,Sweden,Manchester Utd,40.0,24.0,118.0,3.0,10.0,12.0,62.0,68.0,69.0,63.0,131.0,65.0,1329.0,161.0,1490.0,89.0,944.0,385.0,5.0,1.0,0.0,2602.0,15.0,19.0
Joel Matip,Cameroon,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,
Dejan Lovren,Croatia,Liverpool,15.0,11.0,51.0,2.0,8.0,7.0,25.0,66.0,53.0,68.0,78.0,67.0,711.0,110.0,821.0,87.0,520.0,193.0,1.0,1.0,0.0,986.0,10.0,3.0
Shkodran Mustafi,Germany,Arsenal,62.0,58.0,161.0,0.0,9.0,17.0,77.0,57.0,123.0,66.0,200.0,63.0,1445.0,320.0,1765.0,82.0,1017.0,429.0,6.0,9.0,0.0,2615.0,8.0,42.0
Fabián Balbuena,Paraguay,West Ham,40.0,53.0,172.0,0.0,26.0,15.0,44.0,50.0,71.0,53.0,115.0,52.0,661.0,171.0,832.0,79.0,459.0,202.0,3.0,2.0,0.0,2014.0,4.0,19.0
Eric Bailly,Ivory Coast,Manchester Utd,15.0,13.0,37.0,1.0,2.0,4.0,24.0,73.0,13.0,76.0,37.0,74.0,263.0,39.0,302.0,87.0,197.0,66.0,0.0,0.0,1.0,643.0,5.0,5.0
Andreas Christensen,Denmark,Chelsea,10.0,4.0,27.0,0.0,3.0,2.0,14.0,61.0,18.0,51.0,32.0,55.0,425.0,33.0,458.0,93.0,284.0,141.0,0.0,1.0,0.0,615.0,3.0,8.0
Nathan Aké,Netherlands,Bournemouth,66.0,32.0,230.0,0.0,13.0,35.0,88.0,68.0,88.0,55.0,176.0,61.0,1459.0,237.0,1696.0,86.0,1079.0,385.0,7.0,3.0,0.0,3412.0,21.0,28.0
Chris Smalling,England,Manchester Utd,30.0,26.0,106.0,1.0,6.0,25.0,38.0,58.0,102.0,64.0,140.0,62.0,822.0,132.0,954.0,86.0,617.0,205.0,2.0,1.0,0.0,2128.0,8.0,22.0
Michael Keane,England,Everton,42.0,42.0,183.0,3.0,13.0,22.0,54.0,61.0,192.0,61.0,246.0,61.0,1288.0,305.0,1593.0,81.0,884.0,405.0,9.0,2.0,0.0,2969.0,7.0,22.0
Kurt Zouma,France,Everton,32.0,54.0,120.0,1.0,7.0,12.0,54.0,57.0,98.0,65.0,152.0,62.0,1205.0,237.0,1442.0,84.0,826.0,379.0,6.0,3.0,1.0,2612.0,15.0,20.0
Jannik Vestergaard,Denmark,Southampton,53.0,35.0,171.0,0.0,17.0,20.0,77.0,66.0,84.0,61.0,161.0,64.0,650.0,195.0,845.0,77.0,390.0,260.0,5.0,2.0,0.0,2030.0,14.0,17.0
James Tarkowski,England,Burnley,71.0,42.0,235.0,1.0,21.0,56.0,104.0,61.0,169.0,68.0,273.0,65.0,789.0,347.0,1136.0,69.0,485.0,305.0,5.0,8.0,0.0,3087.0,31.0,35.0
Marcos Rojo,Argentina,Manchester Utd,5.0,6.0,9.0,0.0,5.0,2.0,7.0,47.0,3.0,75.0,10.0,53.0,90.0,34.0,124.0,73.0,52.0,38.0,0.0,2.0,0.0,211.0,1.0,3.0
Phil Jones,England,Manchester Utd,19.0,23.0,62.0,3.0,5.0,11.0,32.0,68.0,46.0,72.0,78.0,70.0,698.0,56.0,754.0,93.0,494.0,204.0,3.0,1.0,0.0,1262.0,10.0,8.0
Mamadou Sakho,France,Crystal Palace,25.0,41.0,132.0,2.0,7.0,16.0,45.0,70.0,51.0,58.0,96.0,63.0,1171.0,150.0,1321.0,89.0,793.0,378.0,6.0,2.0,0.0,2417.0,13.0,5.0
Jonny Evans,Northern Ireland,Leicester City,24.0,33.0,146.0,3.0,5.0,10.0,41.0,59.0,72.0,65.0,113.0,63.0,872.0,157.0,1029.0,85.0,673.0,200.0,5.0,2.0,0.0,1994.0,17.0,21.0
Gary Cahill,England,Chelsea,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,1.0,100.0,16.0,2.0,18.0,89.0,5.0,11.0,0.0,0.0,0.0,22.0,0.0,0.0
Joe Gomez,England,Liverpool,17.0,14.0,39.0,0.0,6.0,5.0,30.0,59.0,24.0,56.0,54.0,57.0,689.0,98.0,787.0,88.0,468.0,223.0,7.0,2.0,0.0,1067.0,9.0,12.0
Yerry Mina,Colombia,Everton,14.0,8.0,50.0,2.0,3.0,5.0,19.0,54.0,38.0,58.0,57.0,57.0,424.0,80.0,504.0,84.0,301.0,123.0,3.0,3.0,0.0,892.0,5.0,13.0
Jamaal Lascelles,England,Newcastle Utd,32.0,39.0,213.0,1.0,3.0,28.0,42.0,65.0,92.0,67.0,134.0,66.0,847.0,257.0,1104.0,77.0,655.0,192.0,3.0,4.0,0.0,2745.0,9.0,16.0
Willy Boly,France,Wolves,85.0,72.0,172.0,6.0,22.0,32.0,112.0,63.0,136.0,68.0,248.0,65.0,1389.0,326.0,1715.0,81.0,862.0,527.0,11.0,2.0,1.0,3168.0,14.0,29.0
Lewis Dunk,England,Brighton,42.0,46.0,193.0,3.0,22.0,38.0,55.0,52.0,120.0,66.0,175.0,61.0,1233.0,257.0,1490.0,83.0,892.0,341.0,11.0,5.0,1.0,3153.0,14.0,22.0
Florian Lejeune,France,Newcastle Utd,25.0,21.0,44.0,0.0,13.0,5.0,33.0,57.0,31.0,65.0,64.0,60.0,429.0,134.0,563.0,76.0,282.0,148.0,6.0,0.0,0.0,1055.0,5.0,11.0
Steve Cook,England,Bournemouth,36.0,50.0,198.0,1.0,7.0,21.0,63.0,71.0,126.0,63.0,189.0,65.0,1190.0,311.0,1501.0,79.0,811.0,382.0,11.0,3.0,0.0,2787.0,27.0,18.0
