,Total,,,,,,,,,Home,,,,,,,,,Away,,,,,,,,
Team,Rank,P,M,W,D,L,G,GA,GD,Rank,P,M,W,D,L,G,GA,GD,Rank,P,M,W,D,L,G,GA,GD
Barcelona,1,87,38,26,9,3,90,36,54,1,48,19,15,3,1,51,17,34,1,39,19,11,6,2,39,19,20
Athletico Madrid,2,76,38,22,10,6,55,29,26,2,48,19,15,3,1,32,10,22,3,28,19,7,7,5,23,19,4
Real Madrid,3,68,38,21,5,12,63,46,17,3,40,19,13,1,5,32,15,17,4,28,19,8,4,7,31,31,0
Valencia,4,61,38,15,16,7,51,35,16,9,31,19,7,10,2,24,12,12,2,30,19,8,6,5,27,23,4
Getafe,5,59,38,15,14,9,48,35,13,5,36,19,11,3,5,28,13,15,5,23,19,4,11,4,20,22,-2
Sevilla,6,59,38,17,8,13,62,47,15,4,39,19,12,3,4,39,20,19,12,20,19,5,5,9,23,27,-4
Espanyol,7,53,38,14,11,13,48,50,-2,6,36,19,11,3,5,28,22,6,15,17,19,3,8,8,20,28,-8
Athletic,8,53,38,13,14,11,41,45,-4,7,35,19,9,8,2,26,19,7,14,18,19,4,6,9,15,26,-11
Real Sociedad,9,50,38,13,11,14,45,46,-1,14,27,19,7,6,6,23,20,3,6,23,19,6,5,8,22,26,-4
Betis,10,50,38,14,8,16,44,52,-8,13,29,19,8,5,6,25,26,-1,9,21,19,6,3,10,19,26,-7
Deportivo Alaves,11,50,38,13,11,14,39,50,-11,12,29,19,7,8,4,19,19,0,11,21,19,6,3,10,20,31,-11
Eibar,12,47,38,11,14,13,46,50,-4,8,33,19,9,6,4,31,21,10,17,14,19,2,8,9,15,29,-14
Leganes,13,45,38,11,12,15,37,43,-6,11,29,19,7,8,4,19,16,3,16,16,19,4,4,11,18,27,-9
Villarreal,14,44,38,10,14,14,49,52,-3,16,23,19,5,8,6,28,26,2,8,21,19,5,6,8,21,26,-5
Levante,15,44,38,11,11,16,59,66,-7,15,25,19,6,7,6,34,34,0,13,19,19,5,4,10,25,32,-7
Valladolid,16,41,38,10,11,17,32,51,-19,19,20,19,5,5,9,16,26,-10,10,21,19,5,6,8,16,25,-9
Celta Vigo,17,41,38,10,11,17,53,62,-9,10,29,19,8,5,6,31,25,6,18,12,19,2,6,11,22,37,-15
Girona,18,37,38,9,10,19,37,53,-16,20,15,19,3,6,10,17,28,-11,7,22,19,6,4,9,20,25,-5
SD Huesca,19,33,38,7,12,19,43,65,-22,17,21,19,5,6,8,24,30,-6,19,12,19,2,6,11,19,35,-16
Rayo Vallecano,20,32,38,8,8,22,41,70,-29,18,21,19,5,6,8,25,32,-7,20,11,19,3,2,14,16,38,-22
