,Player,Team,Position,Age,Minutes played,Goals,Assists,Foot,Non-penalty goals,Head goals total,Shots total,Shots on target %,"Goal conv., %",Crosses per 90,Crosses from left per 90,"Crosses from left, %",Crosses from right per 90,"Crosses from right, %",Touches in box per 90,Fwd passes per 90,Fwd passes acc. %,Back passes per 90,Lat passes per 90,Sh/m passes per 90,Lng passes per 90,Lng passes acc. %,"Avg pass length, m","Avg lng pass length, m",Final 3rd passes per 90,Final 3rd passes acc. %,Passes to penalty area per 90,Passes to penalty area acc. %,Thru passes per 90,Thru passes acc. %
0,N. Pépé,Lille,"RAMF, RW, CF",23,4284,24,12,left,15,1,134,53.73,17.91,1.45,0.36,41.18,1.09,28.85,2.94,7.42,70.82,6.89,8.66,26.97,0.88,54.76,15.59,23.62,3.17,70.86,2.73,56.92,1.16,45.45
1,N. Pépé,Lille,"RAMF, RW, CF",23,4284,24,12,left,15,1,134,53.73,17.91,1.45,0.36,41.18,1.09,28.85,2.94,7.42,70.82,6.89,8.66,26.97,0.88,54.76,15.59,23.62,3.17,70.86,2.73,56.92,1.16,45.45
2,L. Messi,Barcelona,"RWF, CF",32,2858,36,12,left,32,0,170,52.35,21.176,1.42,0.41,15.38,1.01,37.5,3.84,18.52,72.96,7.9,17.79,49.22,4.88,63.87,17.33,35.49,9.57,78.95,9.57,64.8,6.01,40.31
3,Mohamed Salah,Liverpool,"RWF, CF",27,3427,22,7,left,19,0,136,47.06,16.176,1.16,0.37,50.0,0.74,42.86,5.7,6.38,67.08,6.51,8.22,25.58,1.26,47.92,15.02,18.54,2.73,78.85,3.83,58.22,2.07,34.18
4,R. Sterling,Manchester City,"RWF, LWF",24,2940,17,9,right,17,2,72,52.78,23.611,3.15,1.41,19.57,1.62,30.19,6.18,6.09,77.39,12.03,11.54,35.85,0.58,42.11,15.03,16.71,1.93,87.3,3.73,56.56,0.92,26.67
5,F. Thauvin,Olympique Marseille,"RAMF, RW, CF",26,2748,16,8,right,14,2,96,37.5,16.667,2.91,0.62,21.05,2.23,33.82,3.9,9.07,69.31,9.92,10.32,31.87,2.42,47.3,16.92,32.27,4.42,64.44,3.86,48.31,1.47,35.56
6,Á. Di María,PSG,"RWF, CF, LAMF",31,2426,12,11,left,12,1,93,34.41,12.903,3.6,2.75,17.57,0.82,31.82,4.64,13.17,68.17,10.13,15.84,41.25,3.82,48.54,17.86,35.79,6.23,67.26,6.38,47.09,3.34,28.89
7,J. Sancho,Borussia Dortmund,"RAMF, RW, LAMF",19,2607,12,13,right,12,0,40,55.0,30.0,1.83,0.52,33.33,1.28,45.95,3.45,10.39,76.41,13.6,12.05,42.64,0.93,62.96,15.32,21.62,3.21,80.65,3.8,64.55,1.45,33.33
8,S. Gnabry,Bayern München,"RAMF, RW, LAMF",24,1828,10,4,right,10,2,64,50.0,15.625,2.9,0.89,33.33,2.02,24.39,5.51,7.48,72.37,13.34,10.83,36.33,1.48,70.0,15.99,28.01,2.61,86.79,3.54,52.78,1.08,31.82
9,R. Oudin,Reims,"RAMF, RW",22,2722,10,3,left,9,0,74,29.73,12.162,2.48,1.02,16.13,1.42,20.93,3.6,9.46,50.7,4.86,7.31,20.63,3.11,48.94,19.66,36.2,3.44,49.04,2.48,29.33,1.32,20.0
10,G. Bale,Real Madrid,"RWF, LWF",30,1862,8,3,left,7,1,75,41.33,10.667,4.35,2.85,28.81,1.45,33.33,4.21,5.66,72.65,9.38,13.15,28.57,2.66,67.27,18.57,30.43,3.14,80.0,3.53,46.58,0.77,25.0
11,R. Orsolini,Bologna,"RAMF, RW, RCMF3",22,2106,8,4,left,8,1,63,47.62,12.698,3.42,0.13,33.33,3.25,28.95,2.61,6.62,63.87,5.6,10.17,21.45,2.86,61.19,20.02,26.44,3.08,77.78,2.99,41.43,0.47,36.36
12,Pedro,Chelsea,RWF,32,1904,8,2,right,8,0,55,45.45,14.545,3.21,0.47,30.0,2.74,37.93,4.11,9.45,76.0,13.14,17.73,46.84,2.32,59.18,16.17,27.49,4.11,78.16,3.97,60.71,1.04,40.91
