Player Name,Team,League,POS,GP,MIN,BR
Teji Savanier,NIM,FRAN,M,32,2865,326
Wilfred Ndidi,LEI,EPL,M,38,3298,324
Ismael Benaccer,EMP,SERI,M,37,2959,312
Thiago Mendes,LIL,FRAN,M,35,3082,310
Ever Banega,SEV,LIGA,M,32,2676,290
Declan Rice,WHU,EPL,M/D,34,3004,287
Ruben Neves,WLV,EPL,M,35,3009,286
Rodrigo,ATL,LIGA,M,34,2742,280
Allan,NAP,SERI,M,33,2613,275
Jorginho,CHE,EPL,M,37,3165,274
Daniel Parejo,VAL,LIGA,M,36,3062,270
Pierre-Emile Hojbjerg,SOU,EPL,M,31,2764,270
Jose Campana,LEV,LIGA,M,36,3213,268
Ruben Alcaraz,REV,LIGA,M,34,2978,268
Jordan Veretout,FIO,SERI,M,33,2942,266
Thiago Alcantara,MUN,BUND,M,30,2408,266
Joao Moutinho,WLV,EPL,M,38,3038,264
Daniel Baier,AUG,BUND,M,34,2911,259
Abdoulaye Doucoure,WAT,EPL,M,35,3062,257
Etienne Capoue,WAT,EPL,M,33,2946,256
Idrissa Gueye,EVE,EPL,M,33,2825,254
Nicolo Barella,CAG,SERI,M,35,3111,253
Moi Gomez,HUE,LIGA,M,36,3061,252
Ibrahim Sangare,TOU,FRAN,M,28,2466,251
Rodrigo De Paul,UDN,SERI,F/M,36,3193,249
Joan Jordan,EIB,LIGA,M,36,2878,249
Otavio,BDX,FRAN,M,33,2880,248
Damian Suarez,GET,LIGA,M/D,36,3240,246
Valentin Rongier,NTE,FRAN,M,36,3227,246
Yann M'Vila,ETI,FRAN,M,37,3260,244
Alaixys Romao,REI,FRAN,M,36,3165,243
Nicolas N'Koulou,TOR,SERI,M/D,36,3215,242
Marten De Roon,ATA,SERI,M,35,2977,242
Makoto Hasebe,EF,BUND,M,29,2610,241
Baptiste Santamaria,ANG,FRAN,M,38,3247,239
Faycal Fajr,CAE,FRAN,M,36,3240,239
N'Golo Kante,CHE,EPL,M,36,3095,238
Daniel Caligiuri,SKE,BUND,F/M,32,2850,237
Marc Roca,ESP,LIGA,M,35,3116,236
Ellyes Skhiri,MTP,FRAN,M,37,3091,235
Remo Freuler,ATA,SERI,M,35,3030,234
Ashley Westwood,BUR,EPL,M/D,34,2822,234
Jonathan Hogg,HUD,EPL,M,29,2375,234
Calum Chambers,FUL,EPL,M/D,31,2586,233
Jefferson Lerma,BOU,EPL,M,30,2510,233
Senad Lulic,LAZ,SERI,M,35,2930,232
Marcelo Brozovic,INT,SERI,M,32,2656,228
Michel,REV,LIGA,M,35,2551,228
Felipe Anderson,WHU,EPL,M,36,3051,227
Ruben Perez,LGN,LIGA,M,31,2471,225
Axel Witsel,DOR,BUND,M,33,2873,224
Tomas Rincon,TOR,SERI,M,34,2804,224
Jorge Miramon,HUE,LIGA,M/D,30,2496,223
Lucas Torreira,ARS,EPL,M,34,2379,220
Jack Cork,BUR,EPL,M,37,3313,219
Filip Kostic,EF,BUND,M,35,3050,219
Benjamin Andre,REN,FRAN,M,30,2497,219
Tomas Pina,ALA,LIGA,M,28,2343,219
Houssem Aouar,LYO,FRAN,M,37,3068,218
Joshua Kimmich,MUN,BUND,M/D,34,3060,218
Paul Pogba,MUN,EPL,M,35,3009,218
Xavier Chavalerin,REI,FRAN,M,36,3240,216
James McArthur,CRY,EPL,M,38,3072,216
Ricardo Pereira,LEI,EPL,M/D,35,3125,216
Ivan Rakitic,BAR,LIGA,M,34,2643,215
Ruben Pena,EIB,LIGA,M/D,31,2673,214
Albin Ekdal,SMP,SERI,M,32,2652,213
Florian Grillitsch,HOF,BUND,M,30,2394,213
Maximilian Eggestein,BRE,BUND,M,34,3053,212
Marcos Alonso,CHE,EPL,M/D,31,2761,212
Matthias Zimmermann,DUS,BUND,M,35,3140,211
Franck Kessie,MIL,SERI,M,34,3021,211
Soualiho Meite,TOR,SERI,M,35,2662,210
Erick Pulgar,BGN,SERI,M,28,2362,209
Walace,HAN,BUND,M,26,1996,209
Moussa Sissoko,TOT,EPL,M,29,2337,208
Maximilian Arnold,WOL,BUND,M,33,2879,207
Granit Xhaka,ARS,EPL,M,29,2501,207
Nemanja Matic,MUN,EPL,M,28,2440,207
Aaron Wan-Bissaka,CRY,EPL,M/D,35,3135,206
Borja Garcia,GIR,LIGA,M,33,2636,206
Charlie Taylor,BUR,EPL,M/D,38,3240,205
Kwado Asamoah,INT,SERI,M/D,32,2671,205
Dennis Praet,SMP,SERI,M,34,2895,204
Saul Niguez,ATL,LIGA,M,33,2925,204
Aaron Mooy,HUD,EPL,M,29,2327,203
William Carvalho,BET,LIGA,M,30,2386,202
Cesar Azpilicueta,CHE,EPL,M/D,38,3403,201
Seko Fofana,UDN,SERI,M,31,2645,201
Santi Cazorla,VIL,LIGA,M,35,2651,201
Igor Zubeldia,RSO,LIGA,M,33,2551,200
Dale Stephens,BHA,EPL,M,30,2487,200
Enis Bardhi,LEV,LIGA,M,36,2841,198
Vincent Manceau,ANG,FRAN,M/D,31,2790,198
Abdoulaye Toure,NTE,FRAN,M,34,2750,198
Morgan Sanson,MAR,FRAN,M,33,2404,198
Kevin Stoger,DUS,BUND,M,26,2210,197
Clement Grenier,REN,FRAN,M,33,2667,195
Luka Milivojevic,CRY,EPL,M,38,3420,194
Sergio Busquets,BAR,LIGA,M,35,2719,194
Jordan Ferri,NIM,FRAN,M,24,1877,194
Andros Townsend,CRY,EPL,M,38,3016,193
Simone Missiroli,SPL,SERI,M,34,2750,191
Damien Le Tallec,MTP,FRAN,M/D,36,2812,191
Julian Brandt,LEV,BUND,M,34,2763,191
Davy Propper,BHA,EPL,M,30,2551,191
Okay,CEL,LIGA,M,30,2203,191
Kerem Demirbay,HOF,BUND,M,26,2022,191
Fabian Orellana,EIB,LIGA,M,33,2738,190
Santiago Ascacibar,SGT,BUND,M,27,2428,190
Manu Garcia,ALA,LIGA,M,34,2325,190
Pierre Kunde Malong,MAI,BUND,M,29,1918,190
Flavien Tait,ANG,FRAN,M,36,2995,189
Piotr Zielinski,NAP,SERI,M,36,2881,189
Mark Noble,WHU,EPL,M,31,2308,189
Tanguy Ndombele,LYO,FRAN,M,34,2691,188
Christian Eriksen,TOT,EPL,M,35,2771,188
Ibrahima Sissoko,STR,FRAN,M,32,2669,187
Dani Garcia,ATH,LIGA,M,29,2482,187
Sergej Milinkovic-Savic,LAZ,SERI,M,31,2405,187
Jony,ALA,LIGA,F/M,36,2982,186
Raman Chibsah,FRO,SERI,M,32,2626,186
Marcel Sabitzer,RBL,BUND,M,30,2351,186
Roberto Pereyra,WAT,EPL,M,33,2821,185
Lucas Ocampos,MAR,FRAN,M,34,2714,185
Oriol Romeu,SOU,EPL,M,31,2139,185
Casemiro,RMD,LIGA,M,29,2316,184
Raffaele Maiello,FRO,SERI,M,29,2046,183
Adrien Tameze,NIC,FRAN,M,37,2950,182
Georginio Wijnaldum,LIV,EPL,M,35,2736,182
Asier Illarramendi,RSO,LIGA,M,23,1822,182
Valentino Lazaro,HB,BUND,F/M,31,2743,181
Bernard,EVE,EPL,M,34,2127,180
Kevin Kampl,RBL,BUND,M,27,2119,180
Kevin Vogt,HOF,BUND,M,28,2394,179
Pedro Porro,GIR,LIGA,M/D,32,2212,179
Max Gradel,TOU,FRAN,F/M,36,3240,178
Benat,ATH,LIGA,M,27,2045,178
Andre Gomes,EVE,EPL,M,27,1986,178
Pere Pons,GIR,LIGA,M,34,2796,177
Thorgan Hazard,BM,BUND,M,33,2877,176
Steven N'Zonzi,ROM,SERI,M,30,2619,176
Koke,ATL,LIGA,M,30,2587,176
Tiemoue Bakayoko,MIL,SERI,M,31,2301,176
Daniele Baselli,TOR,SERI,M,34,2388,175
Bryan Cristante,ROM,SERI,M,35,2418,175
Aron Gunnarsson,CC,EPL,M,28,2275,174
Philip Billing,HUD,EPL,M,27,2190,174
Hakan Calhanoglu,MIL,SERI,F/M,36,2897,173
Thomas Monconduit,AMN,FRAN,M,33,2821,172
Jesus Navas,SEV,LIGA,M/D,32,2712,172
Karol Linetty,SMP,SERI,M,32,2518,172
Miralem Pjanic,JUV,SERI,M,31,2288,172
Nathan Redmond,SOU,EPL,M,38,3275,171
Matt Ritchie,NEW,EPL,M/D,36,2939,171
Jonny,WLV,EPL,M/D,33,2777,171
Papakouli Diop,EIB,LIGA,M,28,2356,170
Charles Aranguiz,LEV,BUND,M,25,1985,169
Victor Camarasa,CC,EPL,M,32,2578,168
Florent Mollet,MTP,FRAN,M,32,2577,168
Toni Kroos,RMD,LIGA,M,28,2227,168
Jordan Henderson,LIV,EPL,M,32,1982,168
Matt Doherty,WLV,EPL,M/D,38,3147,167
Kai Havertz,LEV,BUND,M,35,2990,167
Thomas Foket,REI,FRAN,M/D,32,2880,167
Ondrej Duda,HB,BUND,M,32,2573,167
Matteo Guendouzi,ARS,EPL,M,33,2142,167
Nemanja Maksimovic,GET,LIGA,M,36,3211,166
Mauro Arambarri,GET,LIGA,M,33,2685,166
Ashley Young,MUN,EPL,M/D,30,2569,166
Stanislav Lobotka,CEL,LIGA,M,31,2493,166
Kieran Trippier,TOT,EPL,M/D,27,2278,166
Remy Cabella,ETI,FRAN,M,34,3000,165
Adrien Thomasson,STR,FRAN,M,34,2485,165
Lucas Leiva,LAZ,SERI,M,27,1988,165
Bernardo Silva,MCI,EPL,M,36,2853,164
Alex Granell,GIR,LIGA,M,32,2392,164
Pablo Fornals,VIL,LIGA,M,35,2483,163
Fernandinho,MCI,EPL,M,29,2381,163
Daniel Bessa,GEN,SERI,M,34,2443,163
Richarlison,EVE,EPL,F/M,35,2678,162
Jason Denayer,LYO,FRAN,M/D,31,2748,162
Alexis Blin,AMN,FRAN,M,27,1996,162
Diego Demme,RBL,BUND,M,26,2061,162
Francis Coquelin,VAL,LIGA,M,26,1766,162
Luiz Gustavo,MAR,FRAN,M,30,2432,161
Will Hughes,WAT,EPL,M,32,2433,160
Eddy Gnahore,AMN,FRAN,M,34,2242,160
Anthony Briancon,NIM,FRAN,M/D,33,2925,159
Nico Schulz,HOF,BUND,M,30,2542,159
Luka Modric,RMD,LIGA,M,34,2617,158
Ludovic Blas,GUI,FRAN,M,34,2380,158
Jean Michael Seri,FUL,EPL,M,32,2250,158
Hamed Junior Traore,EMP,SERI,M,32,2266,158
Sven Bender,LEV,BUND,M,28,2052,158
Josuha Guilavogui,WOL,BUND,M,19,1571,158
Gylfi Sigurdsson,EVE,EPL,M,38,3127,157
Jonathan Schmid,AUG,BUND,M,29,2610,157
Jonas Martin,STR,FRAN,M,23,2060,157
Wylan Cyprien,NIC,FRAN,M,29,2363,156
Mikel Merino,RSO,LIGA,M,29,2060,156
Rolando Mandragora,UDN,SERI,M,35,2921,155
Rani Khedira,AUG,BUND,M,31,2717,155
Andres Guardado,BET,LIGA,M,31,2338,155
Mikel Vesga,LGN,LIGA,M,26,2075,155
Edimilson Fernandes,FIO,SERI,M,29,1973,155
Konrad Laimer,RBL,BUND,M,29,1876,155
Ilkay Gundogan,MCI,EPL,M,31,2135,154
Sadio Mane,LIV,EPL,F/M,36,3085,153
Mohamed Fares,SPL,SERI,M/D,35,2947,153
Romain Amalfitano,DIJ,FRAN,M,32,2528,153
Franco Vazquez,SEV,LIGA,F/M,34,2287,153
Stefano Sensi,SAS,SERI,M,28,1978,153
Fabian Ruiz,NAP,SERI,M,27,1990,153
Roque Mesa,SEV,LIGA,M,31,1745,153
Antonino Barilla,PAR,SERI,M,31,2622,152
Rodrigo Bentancur,JUV,SERI,M,31,1996,152
Alejandro Dario Gomez,ATA,SERI,F/M,35,2909,151
Davy Klaassen,BRE,BUND,M,33,2823,151
Rade Krunic,EMP,SERI,M,33,2783,151
Sergio Canales,BET,LIGA,M,32,2658,150
Bouna Sarr,MAR,FRAN,M/D,29,2244,150
Etienne Didot,GUI,FRAN,M,31,2105,150
Luca Cigarini,CAG,SERI,M,25,1687,150
Carlos Soler,VAL,LIGA,M,31,2466,149
Joshua King,BOU,EPL,F/M,35,2970,148
Gelson Fernandes,EF,BUND,M,29,2324,148
Arne Maier,HB,BUND,M,24,2068,148
Pierrick Capelle,ANG,FRAN,M,26,1845,148
Denis Bouanga,NIM,FRAN,M,35,2636,147
Mehdi Abeid,DIJ,FRAN,M,26,2025,147
Pierre Lees-Melou,NIC,FRAN,M,30,2393,146
Nabil Bentaleb,SKE,BUND,M,25,1792,146
Arthur Masuaku,WHU,EPL,M/D,23,1757,146
Artur Ionita,CAG,SERI,M,37,2978,145
Hanno Behrens,FCN,BUND,M,30,2643,145
Maxime Lopez,MAR,FRAN,M,32,2186,145
David Ferreiro,HUE,LIGA,F/M,35,2276,145
Nampalys Mendy,LEI,EPL,M,31,2088,145
Julian Baumgartlinger,LEV,BUND,M,22,1647,145
Mohamed Diame,NEW,EPL,M,29,2166,144
Thomas Partey,ATL,LIGA,M/D,32,2064,144
Federico Chiesa,FIO,SERI,F/M,37,3037,143
Sergi Darder,ESP,LIGA,M,34,2717,143
Anthony Caci,STR,FRAN,M/D,29,2301,143
Perparim Hetemaj,CHV,SERI,M,30,2160,143
Alessandro Florenzi,ROM,SERI,M/D,29,2183,143
James Milner,LIV,EPL,M/D,31,1786,143
Manuel Lazzari,SPL,SERI,M/D,33,2842,142
Marco Verratti,PSG,FRAN,M,26,1885,142
Francesco Magnanelli,SAS,SERI,M,26,1859,142
Pablo Sarabia,SEV,LIGA,M,33,2728,141
Blaise Matuidi,JUV,SERI,M,31,2427,141
Gerson,FIO,SERI,M,36,2435,141
Thomas Delaney,DOR,BUND,M,30,2288,141
Joe Ralls,CC,EPL,M,28,1960,141
Marc Albrighton,LEI,EPL,M,27,1626,141
Solomon March,BHA,EPL,M,35,2474,140
Cheikh N'Doye,ANG,FRAN,M,27,2335,140
Julian Draxler,PSG,FRAN,M,31,2044,140
Manuel Locatelli,SAS,SERI,M,29,1849,140
Aleksandr Golovin,MON,FRAN,M,30,2300,139
Jason,LEV,LIGA,M,30,2331,139
Tom Cairney,FUL,EPL,M,31,2198,139
Benjamin Stambouli,SKE,BUND,M,22,1853,139
Oscar Arnaiz Rodriguez,LGN,LIGA,M,31,2515,138
Diogo Jota,WLV,EPL,F/M,33,2368,138
Ryan Sessegnon,FUL,EPL,M,35,2294,138
Jonas Hofmann,BM,BUND,M,27,1916,138
Ivan Radovanovic,CHV,SERI,M,19,1707,138
Mubarak Wakaso,ALA,LIGA,M,29,1664,138
Mikel Oyarzabal,RSO,LIGA,M,37,3159,137
Santi Comesana,RV,LIGA,M,25,2032,137
Issiaga Sylla,TOU,FRAN,M/D,24,1993,137
Harry Winks,TOT,EPL,M,26,1592,137
Lebogang Phiri,GUI,FRAN,M,24,1931,136
Erik Durm,HUD,EPL,M/D,28,2052,136
Christian Rivera,HUE,LIGA,M,22,1694,136
Douglas Luiz,GIR,LIGA,M,23,1487,136
