Player Name,Team,League,POS,GP,MIN,ST,ON,OFF,Y,YR,R,INT,BLK,TKLW,ACRO,BR,DR,DW
Ben Mee,BUR,EPL,D,38,3420,38,0,0,9,0,0,48,50,24,2,246,8,229
Conor Coady,WLV,EPL,D,38,3420,38,0,0,5,0,0,30,27,19,0,251,3,76
Luka Milivojevic,CRY,EPL,M,38,3420,38,0,0,10,0,0,72,15,69,8,194,13,194
Nathan Ake,BOU,EPL,D,38,3412,38,0,1,3,0,0,31,35,35,5,182,3,176
Cesar Azpilicueta,CHE,EPL,M/D,38,3403,38,0,1,4,0,0,43,16,60,21,201,10,199
Virgil van Dijk,LIV,EPL,D,38,3385,38,0,1,1,0,0,40,18,27,0,193,9,243
Bruno Ecuele Manga,CC,EPL,D,38,3375,37,1,0,0,0,0,82,28,36,2,268,9,177
Yunis Abdelhamid,REI,FRAN,D,37,3330,37,0,0,2,0,0,64,24,33,0,200,20,212
Jack Cork,BUR,EPL,M,37,3313,37,0,1,6,0,0,29,16,27,3,219,28,168
Wilfred Ndidi,LEI,EPL,M,38,3298,37,1,4,8,0,0,83,9,99,0,324,33,326
Simone Iacoponi,PAR,SERI,D,37,3270,37,0,3,4,0,0,36,26,39,1,149,12,154
Christopher Schindler,HUD,EPL,D,37,3262,37,0,1,4,1,1,70,34,36,0,122,1,217
Mohamed Salah,LIV,EPL,F/M,38,3256,37,1,13,1,0,0,5,0,9,6,121,79,142
Jorginho,CHE,EPL,M,37,3165,37,0,9,8,0,0,64,7,38,1,274,15,125
Nathan Redmond,SOU,EPL,M,38,3275,36,2,8,3,0,0,20,2,22,20,171,90,188
Max Gradel,TOU,FRAN,F/M,36,3240,36,0,0,6,0,0,18,9,35,16,178,88,280
Damian Suarez,GET,LIGA,M/D,36,3240,36,0,0,13,0,0,46,6,62,29,246,22,204
Ben Chilwell,LEI,EPL,D,36,3240,36,0,0,4,0,0,38,7,29,18,185,49,256
Jules Kounde,BDX,FRAN,D,36,3240,36,0,0,4,0,0,50,23,30,1,223,12,185
Giovanni Di Lorenzo,EMP,SERI,D,36,3240,36,0,0,8,0,0,36,13,41,19,182,27,180
Laguardia,ALA,LIGA,D,36,3240,36,0,0,12,0,0,54,19,33,0,147,0,139
David Luiz,CHE,EPL,D,36,3239,36,0,1,3,0,0,35,18,31,1,203,10,162
Jens Stryger Larsen,UDN,SERI,D,36,3235,36,0,2,6,0,0,24,8,20,18,165,11,96
Andrew Robertson,LIV,EPL,D,36,3219,36,0,3,4,0,0,29,6,49,20,222,28,148
Jose Campana,LEV,LIGA,M,36,3213,36,0,3,12,0,0,48,7,45,6,268,47,188
Nemanja Maksimovic,GET,LIGA,M,36,3211,36,0,2,5,0,0,71,15,45,0,166,10,181
Daniel Congre,MTP,FRAN,D,36,3203,36,0,0,5,0,1,66,15,45,1,154,3,182
Patrick van Aanholt,CRY,EPL,D,36,3197,36,0,3,3,0,0,40,9,24,5,216,21,93
Rodrigo De Paul,UDN,SERI,F/M,36,3193,36,0,5,7,0,0,33,2,33,21,249,78,228
Armando Izzo,TOR,SERI,D,36,3190,36,0,2,6,0,0,84,23,49,3,244,9,252
Yann M'Vila,ETI,FRAN,M,36,3170,36,0,1,5,0,1,70,10,40,2,240,10,156
Willy Boly,WLV,EPL,D,36,3168,36,0,1,2,0,1,72,32,52,0,213,13,248
Mikel Oyarzabal,RSO,LIGA,M,37,3159,36,1,8,2,0,0,14,3,20,8,137,46,163
Baptiste Santamaria,ANG,FRAN,M,37,3157,36,1,4,2,0,0,55,4,55,1,232,26,223
Lewis Dunk,BHA,EPL,D,36,3153,36,0,1,5,1,1,46,38,26,0,206,0,175
Alex Moreno,RV,LIGA,D,36,3139,36,0,4,5,0,0,41,9,40,15,206,56,191
Gylfi Sigurdsson,EVE,EPL,M,38,3127,36,2,19,3,0,0,29,4,35,9,157,38,151
N'Golo Kante,CHE,EPL,M,36,3095,36,0,4,3,0,0,44,6,41,6,238,32,147
James McArthur,CRY,EPL,M,38,3072,36,2,15,7,0,0,39,22,51,3,216,20,189
Felipe Anderson,WHU,EPL,M,36,3051,36,0,11,3,0,0,41,0,49,15,227,75,225
