,Total,,,,,,,,,Home,,,,,,,,,Away,,,,,,,,
Team,Rank,P,M,W,D,L,G,GA,GD,Rank,P,M,W,D,L,G,GA,GD,Rank,P,M,W,D,L,G,GA,GD
Paris Saint-Germain,1,91,38,29,4,5,105,35,70,1,53,19,17,2,0,63,10,53,1,38,19,12,2,5,42,25,17
Lille,2,75,38,22,9,7,68,33,35,2,43,19,13,4,2,42,11,31,3,32,19,9,5,5,26,22,4
Lyon,3,72,38,21,9,8,70,47,23,4,40,19,12,4,3,38,19,19,2,32,19,9,5,5,32,28,4
St. Etienne,4,66,38,19,9,10,59,41,18,3,41,19,13,2,4,34,14,20,5,25,19,6,7,6,25,27,-2
Marseille,5,61,38,18,7,13,60,52,8,5,37,19,11,4,4,31,17,14,7,24,19,7,3,9,29,35,-6
Montpellier,6,59,38,15,14,9,53,42,11,7,32,19,8,8,3,31,20,11,4,27,19,7,6,6,22,22,0
Nice,7,56,38,15,11,12,30,35,-5,6,34,19,10,4,5,19,14,5,10,22,19,5,7,7,11,21,-10
Reims,8,55,38,13,16,9,39,42,-3,11,31,19,8,7,4,21,18,3,6,24,19,5,9,5,18,24,-6
Nimes Olympique,9,53,38,15,8,15,57,58,-1,8,32,19,9,5,5,30,20,10,12,21,19,6,3,10,27,38,-11
Rennes,10,52,38,13,13,12,55,52,3,10,31,19,8,7,4,27,18,9,11,21,19,5,6,8,28,34,-6
Strasbourg,11,49,38,11,16,11,58,48,10,13,26,19,6,8,5,31,25,6,8,23,19,5,8,6,27,23,4
Nantes,12,48,38,13,9,16,48,48,0,9,31,19,9,4,6,35,24,11,14,17,19,4,5,10,13,24,-11
Angers,13,46,38,10,16,12,44,49,-5,15,24,19,5,9,5,24,22,2,9,22,19,5,7,7,20,27,-7
Bordeaux,14,41,38,10,11,17,34,42,-8,12,27,19,7,6,6,24,21,3,17,14,19,3,5,11,10,21,-11
Amiens SC,15,38,38,9,11,18,31,52,-21,14,26,19,7,5,7,20,22,-2,19,12,19,2,6,11,11,30,-19
Toulouse,16,38,38,8,14,16,35,57,-22,17,21,19,4,9,6,20,26,-6,15,17,19,4,5,10,15,31,-16
Monaco,17,36,38,8,12,18,38,57,-19,18,18,19,4,6,9,19,29,-10,13,18,19,4,6,9,19,28,-9
Dijon,18,34,38,9,7,22,31,60,-29,16,22,19,6,4,9,18,29,-11,18,12,19,3,3,13,13,31,-18
Caen,19,33,38,7,12,19,29,54,-25,19,17,19,4,5,10,16,27,-11,16,16,19,3,7,9,13,27,-14
Guingamp,20,27,38,5,12,21,28,68,-40,20,16,19,3,7,9,16,27,-11,20,11,19,2,5,12,12,41,-29
