Player Name,Team,League,POS,GP,MIN,Y,YR,R,A,SA,CR,ACR,CC,FS,P,AP,ACRO,BCC,DR,APW,TBOX,ECL
Ben Mee,BUR,EPL,D,38,3420,9,0,0,2,1,4,2,8,18,1125,1502,2,3,8,0,56,232
Conor Coady,WLV,EPL,D,38,3420,5,0,0,0,0,0,0,2,10,1423,1689,0,1,3,0,0,127
Luka Milivojevic,CRY,EPL,M,38,3420,10,0,0,2,1,185,52,59,37,1589,1985,8,4,13,0,23,66
Nathan Ake,BOU,EPL,D,38,3412,3,0,0,0,0,6,5,7,21,1459,1696,5,2,3,1,52,232
Cesar Azpilicueta,CHE,EPL,M/D,38,3403,4,0,0,5,0,118,21,27,16,2160,2483,21,5,10,1,50,75
Virgil van Dijk,LIV,EPL,D,38,3385,1,0,0,2,0,0,0,7,22,2724,3037,0,3,9,0,71,199
Bruno Ecuele Manga,CC,EPL,D,38,3375,0,0,0,1,1,20,2,6,11,622,956,2,0,9,0,18,172
Yunis Abdelhamid,REI,FRAN,D,37,3330,2,0,0,0,0,0,0,3,20,1301,1570,0,0,20,0,28,178
Jack Cork,BUR,EPL,M,37,3313,6,0,0,2,0,14,3,18,38,1079,1329,3,2,28,0,35,79
Wilfred Ndidi,LEI,EPL,M,38,3298,8,0,0,0,1,12,0,22,22,1586,1985,0,2,33,0,45,80
Simone Iacoponi,PAR,SERI,D,37,3270,4,0,0,0,0,30,1,9,30,801,1108,1,1,12,0,16,133
Christopher Schindler,HUD,EPL,D,37,3262,4,1,1,0,0,0,0,2,18,1286,1553,0,1,1,0,36,132
Mohamed Salah,LIV,EPL,F/M,38,3256,1,0,0,8,0,57,16,68,32,819,1079,6,16,79,2,322,4
Jorginho,CHE,EPL,M,37,3165,8,0,0,0,1,2,1,30,22,2783,3118,1,6,15,0,5,35
Nathan Redmond,SOU,EPL,M,38,3275,3,0,0,4,0,76,21,52,28,849,1125,20,7,90,0,151,21
Max Gradel,TOU,FRAN,F/M,36,3240,6,0,0,5,0,146,28,53,94,834,1123,16,10,88,1,200,25
Damian Suarez,GET,LIGA,M/D,36,3240,13,0,0,3,1,188,61,61,55,860,1323,29,3,22,0,8,51
Ben Chilwell,LEI,EPL,D,36,3240,4,0,0,4,0,132,22,45,44,1218,1684,18,2,49,0,57,129
Giovanni Di Lorenzo,EMP,SERI,D,36,3240,8,0,0,3,1,122,19,39,53,1386,1735,19,7,27,0,75,66
Jules Kounde,BDX,FRAN,D,36,3240,4,0,0,1,0,5,1,10,21,1536,1902,1,1,12,0,24,174
Laguardia,ALA,LIGA,D,36,3240,12,0,0,2,0,1,0,7,14,893,1267,0,3,0,0,35,224
David Luiz,CHE,EPL,D,36,3239,3,0,0,2,0,4,1,20,29,2306,2620,1,11,10,0,33,144
Jens Stryger Larsen,UDN,SERI,D,36,3235,6,0,0,4,0,79,20,31,14,1129,1417,18,4,11,0,25,82
Francesco Acerbi,LAZ,SERI,D,36,3220,3,1,1,1,0,6,1,10,41,1507,1734,1,2,9,0,27,156
Andrew Robertson,LIV,EPL,D,36,3219,4,0,0,11,2,135,21,51,16,1994,2397,20,15,28,0,90,47
Jose Campana,LEV,LIGA,M,36,3213,12,0,0,9,0,149,43,59,35,1567,1857,6,11,47,0,38,44
Nemanja Maksimovic,GET,LIGA,M,36,3211,5,0,0,0,0,4,0,12,11,581,769,0,0,10,0,36,29
Daniel Congre,MTP,FRAN,D,36,3203,5,0,1,2,0,6,1,9,28,1236,1504,1,1,3,0,17,99
Patrick van Aanholt,CRY,EPL,D,36,3197,3,0,0,2,0,43,11,35,14,1284,1608,5,7,21,0,65,81
Rodrigo De Paul,UDN,SERI,F/M,36,3193,7,0,0,8,2,205,58,97,94,1211,1584,21,15,78,0,57,11
Armando Izzo,TOR,SERI,D,36,3190,6,0,0,1,0,20,3,10,59,1355,1752,3,1,9,1,40,139
Yann M'Vila,ETI,FRAN,M,36,3170,5,0,1,1,0,7,3,24,33,1877,2190,2,1,10,0,4,78
Willy Boly,WLV,EPL,D,36,3168,2,0,1,0,0,0,0,11,14,1389,1717,0,3,13,0,34,172
Mikel Oyarzabal,RSO,LIGA,M,37,3159,2,0,0,2,2,64,17,45,38,683,924,8,7,46,1,143,23
Baptiste Santamaria,ANG,FRAN,M,37,3157,2,0,0,0,0,10,1,13,49,1184,1459,1,0,26,0,12,50
Lewis Dunk,BHA,EPL,D,36,3153,5,1,1,1,0,2,0,11,14,1233,1490,0,1,0,0,44,193
Alex Moreno,RV,LIGA,D,36,3139,5,0,0,1,3,103,15,31,44,839,1100,15,3,56,0,81,79
Gylfi Sigurdsson,EVE,EPL,M,38,3127,3,0,0,6,1,196,48,74,39,755,991,9,11,38,0,106,23
N'Golo Kante,CHE,EPL,M,36,3095,3,0,0,4,0,19,6,46,13,1776,2022,6,4,32,0,73,26
James McArthur,CRY,EPL,M,38,3072,7,0,0,6,0,15,3,31,39,1110,1401,3,5,20,0,90,44
Felipe Anderson,WHU,EPL,M,36,3051,3,0,0,4,1,121,34,65,52,1268,1668,15,10,75,0,111,12
Charlie Taylor,BUR,EPL,M/D,38,3240,2,0,0,1,0,119,22,11,48,851,1174,18,2,41,0,8,83
Jose Luis Morales,LEV,LIGA,M,37,3197,7,0,0,5,1,71,9,44,52,494,695,9,10,69,0,200,11
Ryan Fraser,BOU,EPL,M,38,3171,2,0,0,13,0,270,76,92,68,920,1196,33,27,24,0,102,20
Gerard Pique,BAR,LIGA,D,35,3150,6,0,0,2,0,0,0,6,21,2184,2390,0,2,12,1,31,148
