,No,Player,Team,Apps,Min,G,A,xG,xA,xG90,xA90
0,4,Paul Pogba,Manchester United,12,1066,8,6,7.24,2.58,0.61,0.22
1,9,Marcus Rashford,Manchester United,12,966,6,1,5.94,2.07,0.55,0.19
2,11,Romelu Lukaku,Manchester United,11,589,6,0,3.93,0.68,0.6,0.1
3,27,Jesse Lingard,Manchester United,10,655,3,2,2.77,1.03,0.38,0.14
4,46,Anthony Martial,Manchester United,8,501,2,2,1.62,1.59,0.29,0.29
5,76,Ander Herrera,Manchester United,10,751,1,2,0.42,0.88,0.05,0.11
6,80,Nemanja Matic,Manchester United,10,900,1,0,0.85,0.36,0.09,0.04
7,89,Andreas Pereira,Manchester United,5,232,1,1,0.05,0.50,0.02,0.2
8,142,Alexis Sánchez,Manchester United,7,316,0,1,0.60,0.96,0.17,0.27
9,157,Juan Mata,Manchester United,7,366,0,0,0.34,0.60,0.08,0.15
