Name,Nationality,Age,Club,Goals,Dribbled Past,Tackles,Errors Leading to Shots,Interceptions,Blocked Shots,Accurate Pass %,Accurate Passes in Own Half,Accurate Passes in Opposition Half,Accurate Passes in Final Third,Key Passes,Accurate Long Ball %,Ground Duels %Won,Aerial Duels %Won,Minutes Played,Was Fouled,Dispossessed,Matches Started,Ball Recoveries
Casemiro,Brazil,27.0,Real Madrid,3.0,56.0,86.0,2.0,41.0,12.0,88.0,757.0,669.0,223.0,14.0,75.0,55.0,62.0,2316.0,49.0,17.0,27.0,184
Fernandinho,Brazil,34.0,Manchester City,1.0,21.0,57.0,0.0,41.0,4.0,87.0,703.0,1090.0,465.0,23.0,59.0,56.0,54.0,2381.0,26.0,13.0,27.0,163
Fabinho,Brazil,25.0,Liverpool,1.0,35.0,59.0,2.0,28.0,6.0,85.0,633.0,744.0,277.0,16.0,49.0,53.0,58.0,2012.0,30.0,16.0,21.0,120
Lucas Leiva,Brazil,32.0,Lazio,0.0,41.0,91.0,3.0,53.0,11.0,88.0,503.0,718.0,273.0,31.0,72.0,52.0,60.0,1988.0,20.0,23.0,22.0,165
Idrissa Gueye,Senegal,29.0,Everton,0.0,38.0,142.0,1.0,75.0,8.0,84.0,693.0,777.0,359.0,18.0,62.0,62.0,48.0,2825.0,38.0,28.0,32.0,254
Javi Martinez,Spain,30.0,FC Bayern,3.0,12.0,26.0,0.0,31.0,5.0,88.0,454.0,340.0,106.0,7.0,59.0,58.0,60.0,1311.0,13.0,2.0,21.0,95
Daniele De Rossi,Italy,35.0,Roma,1.0,11.0,16.0,0.0,26.0,12.0,87.0,354.0,456.0,184.0,19.0,73.0,53.0,56.0,1273.0,9.0,1.0,15.0,82
Luiz Gustavo,Brazil,31.0,OM,2.0,36.0,72.0,0.0,34.0,12.0,89.0,809.0,470.0,153.0,9.0,52.0,60.0,41.0,2432.0,40.0,11.0,26.0,161
Dani Garcia,Spain,29.0,Athletic Club,0.0,39.0,56.0,1.0,48.0,8.0,83.0,665.0,491.0,161.0,4.0,56.0,47.0,63.0,2482.0,26.0,11.0,29.0,187
Julian Weigl,Germany,23.0,Dortmund,1.0,17.0,32.0,2.0,16.0,10.0,93.0,725.0,398.0,73.0,2.0,78.0,61.0,54.0,1455.0,16.0,4.0,18.0,91
Lucas Tousart,France,22.0,OL,0.0,34.0,74.0,0.0,26.0,13.0,87.0,457.0,397.0,157.0,10.0,56.0,56.0,48.0,1742.0,17.0,13.0,20.0,127
Marcos Llorente,Spain,24.0,Real Madrid,0.0,10.0,16.0,0.0,7.0,0.0,93.0,213.0,136.0,40.0,4.0,89.0,48.0,40.0,540.0,7.0,8.0,6.0,43
Eric Dier,England,25.0,Spurs,3.0,28.0,27.0,1.0,22.0,12.0,85.0,511.0,409.0,134.0,8.0,52.0,36.0,54.0,1509.0,9.0,10.0,18.0,79
Julian Baumgartlinger,Austria,31.0,Leverkusen,0.0,25.0,52.0,1.0,26.0,6.0,90.0,622.0,606.0,248.0,10.0,83.0,57.0,55.0,1557.0,19.0,15.0,21.0,145
Erick Pulgar,Chile,25.0,Bologna,6.0,51.0,65.0,0.0,50.0,5.0,84.0,553.0,688.0,306.0,61.0,61.0,51.0,61.0,2362.0,34.0,20.0,27.0,209
Mohamed Elneny,Egypt,26.0,Arsenal,0.0,1.0,13.0,0.0,2.0,4.0,91.0,136.0,117.0,43.0,5.0,83.0,67.0,25.0,379.0,0.0,3.0,5.0,26
Romain Saiss,Morocco,29.0,Wolves,2.0,17.0,39.0,0.0,26.0,12.0,77.0,322.0,248.0,70.0,4.0,54.0,51.0,68.0,1157.0,8.0,2.0,12.0,82
Thomas Monconduit,France,28.0,Amiens SC,0.0,37.0,76.0,1.0,36.0,16.0,78.0,484.0,650.0,293.0,32.0,56.0,53.0,56.0,2821.0,40.0,25.0,32.0,172
Sebastian Rode,Germany,28.0,Frankfurt,0.0,19.0,31.0,0.0,19.0,0.0,83.0,198.0,245.0,119.0,18.0,58.0,55.0,52.0,931.0,10.0,5.0,12.0,71
Pedro Obiang,Equatorial Guinea,27.0,West Ham,0.0,25.0,41.0,0.0,12.0,9.0,80.0,176.0,255.0,117.0,7.0,69.0,56.0,44.0,1120.0,11.0,5.0,12.0,73
Oriol Romeu,Spain,27.0,Southampton,1.0,45.0,81.0,1.0,52.0,17.0,79.0,389.0,487.0,184.0,8.0,48.0,51.0,54.0,2139.0,17.0,15.0,25.0,185
Ivan Radovanovic,Serbia,30.0,Genoa,0.0,29.0,47.0,1.0,38.0,11.0,84.0,709.0,722.0,278.0,14.0,67.0,53.0,66.0,2989.0,33.0,10.0,34.0,138
Ivan Radovanovic,Serbia,30.0,Genoa,0.0,29.0,47.0,1.0,38.0,11.0,84.0,709.0,722.0,278.0,14.0,67.0,53.0,66.0,2989.0,33.0,10.0,34.0,97
Papakouli Diop,Senegal,33.0,SD Eibar,1.0,20.0,66.0,0.0,37.0,1.0,73.0,275.0,553.0,286.0,10.0,45.0,56.0,56.0,2356.0,47.0,12.0,27.0,170
Declan Rice,England,20.0,West Ham,2.0,50.0,98.0,0.0,52.0,12.0,86.0,660.0,652.0,220.0,9.0,68.0,58.0,57.0,3004.0,7.0,20.0,34.0,287
